"SUB_ASSESSMENT_ID","DESCRIPTION","DISPLAY_NAME","SEVERITY","REMEDIATION","CATEGORY","IMPACT","STATUS","CAUSE","MACHINE_ID","MACHINE_NAME","MACHINE_SOURCE","TIME_GENERATED","PUBLISHED_TIME","VULN_ID","CVES"
"/subscriptions/01e16aa4-82d4-41b5-8f2e-2a58dbfe89a1/resourceGroups/MS-DEFENDER-ENDPOINT-PLAYGROUND/providers/Microsoft.Compute/virtualMachines/winserver2022-msde-playground/providers/Microsoft.Security/assessments/1195afff-c881-495e-9bc5-1486211ae03f/subassessments/8ae5ac24-0b44-d7d6-1da6-b9a66af811d8","Update Microsoft Asp.net Core","Update Microsoft Asp.net Core","High",,"Update",,"Unhealthy",,"/subscriptions/01e16aa4-82d4-41b5-8f2e-2a58dbfe89a1/resourcegroups/ms-defender-endpoint-playground/providers/microsoft.compute/virtualmachines/winserver2022-msde-playground","winserver2022-msde-playground","Azure","2024-07-17T04:14:13.623Z","null","QWVYX5","CVE-2024-21386,CVE-2023-44487,CVE-2023-36558"
"/subscriptions/01e16aa4-82d4-41b5-8f2e-2a58dbfe89a1/resourceGroups/MS-DEFENDER-ENDPOINT-PLAYGROUND/providers/Microsoft.Compute/virtualMachines/winserver2022-msde-playground/providers/Microsoft.Security/assessments/1195afff-c881-495e-9bc5-1486211ae03f/subassessments/a295045d-fd27-8dc2-0825-19089f835578","Update Microsoft .net","Update Microsoft .net","High",,"Update",,"Unhealthy",,"/subscriptions/01e16aa4-82d4-41b5-8f2e-2a58dbfe89a1/resourcegroups/ms-defender-endpoint-playground/providers/microsoft.compute/virtualmachines/winserver2022-msde-playground","winserver2022-msde-playground","Azure","2024-07-20T08:14:08.808Z","null","XDX00P","CVE-2023-36049,CVE-2023-44487,CVE-2023-36792,CVE-2023-36794,CVE-2024-21404,CVE-2023-36796,CVE-2023-36558,CVE-2024-21319,CVE-2024-21409,CVE-2023-36793,CVE-2024-0056,CVE-2023-36799,CVE-2024-20672,CVE-2024-0057"
"/subscriptions/01e16aa4-82d4-41b5-8f2e-2a58dbfe89a1/resourceGroups/RG-DETECTION-SCORE-PLAYGROUND/providers/Microsoft.Compute/virtualMachines/VM-Win10Pro-RAM-CPU-Usage-Monitor/providers/Microsoft.Security/assessments/1195afff-c881-495e-9bc5-1486211ae03f/subassessments/a773528e-3787-de1b-790b-a21f81891c05","Update Microsoft .net Framework","Update Microsoft .net Framework","High",,"Update",,"Unhealthy",,"/subscriptions/01e16aa4-82d4-41b5-8f2e-2a58dbfe89a1/resourcegroups/rg-detection-score-playground/providers/microsoft.compute/virtualmachines/vm-win10pro-ram-cpu-usage-monitor","VM-Win10Pro-RAM-CPU-Usage-Monitor","Azure","2024-07-22T20:14:26.333Z","null","C73GEB","CVE-2023-36049,CVE-2024-21409,CVE-2023-36560,CVE-2024-0056,CVE-2024-21312,CVE-2024-38081,CVE-2024-29059,CVE-2024-0057"
"/subscriptions/01e16aa4-82d4-41b5-8f2e-2a58dbfe89a1/resourceGroups/RG-DETECTION-SCORE-PLAYGROUND/providers/Microsoft.Compute/virtualMachines/VM-Win10Pro-RAM-CPU-Usage-Monitor/providers/Microsoft.Security/assessments/1195afff-c881-495e-9bc5-1486211ae03f/subassessments/c9bdbb6e-539c-2423-afcf-8079610b4487","Update Microsoft Windows 10","Update Microsoft Windows 10","High",,"Update",,"Unhealthy",,"/subscriptions/01e16aa4-82d4-41b5-8f2e-2a58dbfe89a1/resourcegroups/rg-detection-score-playground/providers/microsoft.compute/virtualmachines/vm-win10pro-ram-cpu-usage-monitor","VM-Win10Pro-RAM-CPU-Usage-Monitor","Azure","2024-07-23T00:29:02.368Z","null","NW5F5B","CVE-2024-21371,CVE-2023-36025,CVE-2024-38025,CVE-2024-30004,CVE-2024-20693,CVE-2024-29999,CVE-2023-24023,CVE-2023-36405,CVE-2023-36427,CVE-2024-26217,CVE-2024-30028,CVE-2024-30035,CVE-2024-21340,CVE-2024-28921,CVE-2024-20680,CVE-2024-26173,CVE-2024-30024,CVE-2024-21368,CVE-2024-20682,CVE-2024-38019,CVE-2023-36403,CVE-2024-21366,CVE-2024-20665,CVE-2024-21433,CVE-2024-26208,CVE-2024-29061,CVE-2023-36033,CVE-2024-38052,CVE-2024-30017,CVE-2024-20699,CVE-2024-26168,CVE-2024-38034,CVE-2023-35632,CVE-2024-26243,CVE-2024-37981,CVE-2024-30066,CVE-2024-30005,CVE-2024-21316,CVE-2024-38058,CVE-2024-26194,CVE-2024-20698,CVE-2024-38104,CVE-2024-26252,CVE-2024-26250,CVE-2024-21361,CVE-2024-26237,CVE-2024-21391,CVE-2024-37973,CVE-2024-38032,CVE-2024-30051,CVE-2024-20694,CVE-2024-20681,CVE-2024-38048,CVE-2024-30087,CVE-2024-29988,CVE-2023-35642,CVE-2023-36003,CVE-2024-30068,CVE-2024-26162,CVE-2024-28919,CVE-2024-21350,CVE-2023-36004,CVE-2024-37971,CVE-2024-30098,CVE-2024-30078,CVE-2024-21351,CVE-2023-36006,CVE-2024-38028,CVE-2024-38013,CVE-2024-21439,CVE-2024-30039,CVE-2023-36393,CVE-2024-30025,CVE-2024-26220,CVE-2024-21444,CVE-2024-38085,CVE-2024-38051,CVE-2024-28922,CVE-2024-26172,CVE-2023-36028,CVE-2024-30049,CVE-2024-28924,CVE-2024-26158,CVE-2024-26180,CVE-2024-21352,CVE-2024-38105,CVE-2023-36394,CVE-2024-29062,CVE-2024-38057,CVE-2022-0001,CVE-2024-38068,CVE-2024-28920,CVE-2023-35644,CVE-2024-26200,CVE-2024-30001,CVE-2024-30082,CVE-2024-29050,CVE-2024-21355,CVE-2024-26214,CVE-2024-35265,CVE-2024-21417,CVE-2022-35737,CVE-2024-21431,CVE-2024-30081,CVE-2024-30037,CVE-2023-36423,CVE-2024-30086,CVE-2024-30032,CVE-2024-21375,CVE-2023-36696,CVE-2023-36036,CVE-2024-20664,CVE-2024-26183,CVE-2024-30018,CVE-2024-30095,CVE-2024-21358,CVE-2024-38101,CVE-2024-21341,CVE-2024-39684,CVE-2024-26176,CVE-2024-30029,CVE-2024-21314,CVE-2024-30027,CVE-2024-38062,CVE-2024-26169,CVE-2024-35250,CVE-2024-30050,CVE-2024-28901"
